Date,MSFT,SPY,TLT
2007-01-03,22.965631,112.62011000000001,61.666763
2007-01-04,22.927172,112.859108,62.040604
2007-01-05,22.796421,111.958931,61.770626
2007-01-08,23.019470000000002,112.476669,61.881367000000004
2007-01-09,23.042538,112.381119,61.881367000000004
2007-01-10,22.811804000000002,112.75549299999999,61.604434999999995
2007-01-11,23.611681,113.249435,61.244362
2007-01-12,24.003922,114.10983300000001,60.960449
2007-01-16,23.965466,113.886749,61.09206
2007-01-17,23.919327,113.934547,60.905067
2007-01-18,23.842415,113.55216200000001,61.09206
2007-01-19,23.927021,113.77519199999999,60.925842
2007-01-22,23.627062,113.424675,61.07125500000001
2007-01-23,23.64245,113.759254,60.669617
2007-01-24,23.911633,114.675407,60.662727000000004
2007-01-25,23.419407,113.329071,60.22654300000001
2007-01-26,23.534775,113.225525,60.178005000000006
2007-01-29,23.480936,113.161804,60.046496999999995
2007-01-30,23.442476,113.751259,60.115704
2007-01-31,23.734739,114.51608999999999,60.621159
2007-02-01,23.504005,115.201195,60.548156999999996
2007-02-02,23.219433,115.36046599999999,60.62466800000001
2007-02-05,22.77335,115.392372,60.708057
2007-02-06,22.696442,115.424232,61.041813
2007-02-07,22.588764,115.67919199999999,61.22258000000001
2007-02-08,22.504164000000003,115.52780200000001,61.27128199999999
2007-02-09,22.28882,114.667442,60.923603
2007-02-12,22.258053,114.277077,60.784546
2007-02-13,22.38925,115.240997,60.652451
2007-02-14,22.690243,115.99783300000001,61.229530000000004
2007-02-15,22.736547,116.149193,61.41029
2007-02-16,22.180872,116.09340700000001,61.625831999999996
2007-02-20,22.250335999999997,116.34039299999999,61.764846999999996
2007-02-21,22.651654999999998,116.292526,61.660564
2007-02-22,22.682524,116.20495600000001,61.32679399999999
2007-02-23,22.304357999999997,115.75083899999998,61.764846999999996
2007-02-26,22.435553,115.64726999999999,62.175068
2007-02-27,21.509432,111.130371,62.960636
2007-02-28,21.740957,112.26956200000001,62.67563199999999
2007-03-01,21.679216,111.934975,62.635849
2007-03-02,21.424528,110.4692,62.949909
2007-03-05,21.262451000000002,109.41764099999999,63.05455
2007-03-06,21.478548,111.289726,62.866131
2007-03-07,21.308764,111.17816200000001,63.110386
2007-03-08,21.084948999999998,112.118256,63.05455
2007-03-09,21.0618,112.15007800000001,62.39155600000001
2007-03-12,21.177563,112.31736000000001,62.635849
2007-03-13,20.621878,110.134598,63.012699
2007-03-14,21.146692,110.955132,62.726555000000005
2007-03-15,21.054077,111.106499,62.719566
2007-03-16,21.092667000000002,110.79536399999999,62.705627
2007-03-19,21.478548,112.131027,62.573013
2007-03-20,21.486269,112.746834,62.60790600000001
2007-03-21,22.011078,114.602364,62.635849
2007-03-22,21.818136,114.514404,62.140331
2007-03-23,21.625191,114.68235,61.965866000000005
2007-03-26,21.779551,114.530396,62.042629000000005
2007-03-27,21.393665,114.25851399999999,61.937904
2007-03-28,21.331915,113.426674,61.812290000000004
2007-03-29,21.416811,113.54661599999999,61.72858000000001
2007-03-30,21.509432,113.570656,61.609905000000005
2007-04-02,21.4091,113.69861599999999,61.712231
2007-04-03,21.509432,114.92228700000001,61.635174
2007-04-04,21.995639999999998,115.050293,61.698189
2007-04-05,22.034233,115.362183,61.467026000000004
2007-04-09,22.049669,115.522095,61.060764
2007-04-10,21.918463,115.658096,61.242893
2007-04-11,21.694651,115.186241,61.200867
2007-04-12,22.026516,115.69809,61.214863
2007-04-13,22.080544,116.225975,61.02574499999999
2007-04-16,22.173154999999998,117.329674,61.361957999999994
2007-04-17,22.26577,117.64157900000001,61.705204
2007-04-18,22.072823,117.785576,62.013419999999996
2007-04-19,22.142282,117.753601,61.908297999999995
2007-04-20,22.396964999999998,118.865257,61.747227
2007-04-23,22.211742,118.41741200000001,61.971359
2007-04-24,22.219463,118.465378,62.202541000000004
2007-04-25,22.373816,119.55306999999999,61.985401
2007-04-26,22.45871,119.68904099999999,61.537064
2007-04-27,23.245918,119.59308600000001,61.523109
2007-04-30,23.107004,118.601349,62.16750699999999
2007-05-01,23.46203,118.905258,62.212486
2007-05-02,23.624092,119.601074,62.17735699999999
2007-05-03,23.901932000000002,120.24888600000001,62.036747
2007-05-04,23.585506,120.704796,62.289825
2007-05-07,23.701271,120.728798,62.458599
2007-05-08,23.73214,120.568871,62.317951
2007-05-09,23.755295,120.896759,62.071918000000004
2007-05-10,23.600937,119.633133,62.219559
2007-05-11,23.840183,120.656815,62.001602
2007-05-14,23.901932000000002,120.39286799999999,61.839874
2007-05-15,23.925154,120.42493400000001,61.818787
2007-05-16,24.056784,121.24868000000001,61.776633999999994
2007-05-17,23.987103,121.008728,61.523559999999996
2007-05-18,23.87096,122.06446100000001,61.115761
2007-05-21,24.041301999999998,122.000496,61.298561
2007-05-22,23.76256,121.90451000000002,60.982197
2007-05-23,23.677391,121.92047099999999,60.80639300000001
2007-05-24,23.359942999999998,120.816772,60.86264
2007-05-25,23.599970000000003,121.32064799999999,60.722038
2007-05-29,23.839993,121.760544,60.715027
2007-05-30,24.087757,122.752319,60.84156
2007-05-31,23.76256,122.624344,60.729099
2007-06-01,23.685137,123.23210900000001,60.410038
2007-06-04,23.785791,123.248154,60.685337
2007-06-05,23.677391,122.760231,60.304199
2007-06-06,23.45285,121.44061299999998,60.275967
2007-06-07,22.934084,119.24920700000001,59.19609499999999
2007-06-08,23.267025,120.800789,59.14664499999999
2007-06-11,23.243797,121.008728,58.977249
2007-06-12,23.112169,119.68904099999999,58.123234
2007-06-13,23.530276999999998,121.480621,58.814972
